Happy,Feeling pleasure or contentment.,8685c225-dc28-4384-8ebd-0caf3a700b2a,ğŸ˜Š
Excited,Feeling enthusiastic and eager.,8685c225-dc28-4384-8ebd-0caf3a700b2a,ğŸ˜ƒ
Elated,Extremely happy and excited.,8685c225-dc28-4384-8ebd-0caf3a700b2a,ğŸ¤©
Content,Satisfied with the current situation.,8685c225-dc28-4384-8ebd-0caf3a700b2a,ğŸ˜Œ
Joyful,Full of joy.,8685c225-dc28-4384-8ebd-0caf3a700b2a,ğŸ˜
Optimistic,Hopeful and confident about the future.,8685c225-dc28-4384-8ebd-0caf3a700b2a,ğŸ˜Š
Proud,Feeling satisfaction over something regarded as highly honorable or creditable.,8685c225-dc28-4384-8ebd-0caf3a700b2a,ğŸ˜Œ
Relaxed,Free from tension and anxiety.,8685c225-dc28-4384-8ebd-0caf3a700b2a,ğŸ˜Œ
Grateful,Feeling thankful.,8685c225-dc28-4384-8ebd-0caf3a700b2a,ğŸ™
Loving,Feeling or showing love and affection.,8685c225-dc28-4384-8ebd-0caf3a700b2a,â¤ï¸
Sad,Feeling sorrowful.,27653c90-bee8-4d99-bce5-1854ae6fb09e,ğŸ˜¢
Angry,Feeling strong annoyance or displeasure.,27653c90-bee8-4d99-bce5-1854ae6fb09e,ğŸ˜ 
Frustrated,Feeling annoyed or less effective because of a lack of progress.,27653c90-bee8-4d99-bce5-1854ae6fb09e,ğŸ˜¤
Anxious,Feeling worried or uneasy.,27653c90-bee8-4d99-bce5-1854ae6fb09e,ğŸ˜Ÿ
Depressed,Feeling severe despondency and dejection.,27653c90-bee8-4d99-bce5-1854ae6fb09e,ğŸ˜
Lonely,Feeling sad because one has no friends or company.,27653c90-bee8-4d99-bce5-1854ae6fb09e,ğŸ˜”
Guilty,Feeling responsible for a perceived offense or wrong.,27653c90-bee8-4d99-bce5-1854ae6fb09e,ğŸ˜“
Jealous,Feeling or showing envy of someone.,27653c90-bee8-4d99-bce5-1854ae6fb09e,ğŸ˜’
Annoyed,Feeling slight anger or irritation.,27653c90-bee8-4d99-bce5-1854ae6fb09e,ğŸ˜’
Stressed,Feeling tension and pressure.,27653c90-bee8-4d99-bce5-1854ae6fb09e,ğŸ˜«
Calm,Peaceful and free from stress.,b5ad3bbc-2757-4331-977a-f5a9ab8591ac,ğŸ˜Œ
Indifferent,Having no particular interest or sympathy; unconcerned.,b5ad3bbc-2757-4331-977a-f5a9ab8591ac,ğŸ˜
Bored,Feeling weary and impatient because one is unoccupied or lacks interest in one's current activity.,b5ad3bbc-2757-4331-977a-f5a9ab8591ac,ğŸ˜’
Pensive,Engaged in serious thought.,b5ad3bbc-2757-4331-977a-f5a9ab8591ac,ğŸ¤”
Neutral,Not showing any strong emotion.,b5ad3bbc-2757-4331-977a-f5a9ab8591ac,ğŸ˜
Nostalgic,Feeling sentimental longing for the past.,fa2fcb34-ac46-4b43-84f8-a4549348d421,ğŸ˜Š
Ambivalent,Having mixed feelings or contradictory ideas about something or someone.,fa2fcb34-ac46-4b43-84f8-a4549348d421,ğŸ˜•
Conflicted,Feeling uncertain or in a state of conflict.,fa2fcb34-ac46-4b43-84f8-a4549348d421,ğŸ˜–
Apprehensive,Anxious or fearful that something bad or unpleasant will happen.,fa2fcb34-ac46-4b43-84f8-a4549348d421,ğŸ˜Ÿ
Hopeful,Feeling or inspiring optimism about a future event.,fa2fcb34-ac46-4b43-84f8-a4549348d421,ğŸ˜Š
Sociable,Enjoying and seeking the company of others.,e2d123a7-dd81-4384-92fb-64f104ac6389,ğŸ˜ƒ
Empathetic,Understanding and sharing the feelings of others.,e2d123a7-dd81-4384-92fb-64f104ac6389,ğŸ¤—
Sympathetic,Feeling compassion for others.,e2d123a7-dd81-4384-92fb-64f104ac6389,ğŸ˜¢
Anticipatory,Looking forward to something with excitement.,7956b74b-f2e1-437d-ae3c-4ab4e8a4dc7e,ğŸ˜ƒ
Reflective,Deeply or seriously thoughtful.,7956b74b-f2e1-437d-ae3c-4ab4e8a4dc7e,ğŸ¤”
Reminiscent,Tending to recall or suggest something in the past.,7956b74b-f2e1-437d-ae3c-4ab4e8a4dc7e,ğŸ˜Š
Inspired,Filled with the urge or ability to do or feel something.,b11ef19b-0788-4490-8181-bde18a61c72b,ğŸ¤©
Motivated,Very eager to do or achieve something.,b11ef19b-0788-4490-8181-bde18a61c72b,ğŸ˜ƒ
Focused,Having a clear and definite aim or goal.,b11ef19b-0788-4490-8181-bde18a61c72b,ğŸ˜Œ
Melancholic,Feeling or expressing pensive sadness.,5de2ee6a-1230-4cb0-a7d0-aa0758a650be,ğŸ˜
Euphoric,Intense excitement and happiness.,5de2ee6a-1230-4cb0-a7d0-aa0758a650be,ğŸ¤©
Determined,Showing firmness of purpose.,5de2ee6a-1230-4cb0-a7d0-aa0758a650be,ğŸ˜ 
Curious,Eager to know or learn something.,5de2ee6a-1230-4cb0-a7d0-aa0758a650be,ğŸ¤”
